年度,再生能源類別,分類,裝置容量級距,躉購費率（元/度）,計算公式
107,太陽光電(高效能),屋頂型(第一期),20瓩以上不及100瓩,5.078,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(高效能),屋頂型(第二期),20瓩以上不及100瓩,4.9698,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(高效能),屋頂型(第一期),100瓩以上不及500瓩,4.7238,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(高效能),屋頂型(第二期),100瓩以上不及500瓩,4.6254,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(高效能),屋頂型(第一期),500瓩以上,4.586,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(高效能),屋頂型(第二期),500瓩以上,4.4975,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(高效能),地面型(第一期),1瓩以上,4.6412,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(高效能),地面型(第二期),1瓩以上,4.552,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(高效能),水面型(浮力式)(第一期),1瓩以上,5.0586,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(高效能),水面型(浮力式)(第二期),1瓩以上,4.9715,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(綠能屋頂),屋頂型(第一期),1瓩以上不及20瓩,6.4137,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(綠能屋頂),屋頂型(第二期),1瓩以上不及20瓩,6.2771,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(綠能屋頂),屋頂型(第一期),20瓩以上不及100瓩,5.2303,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(綠能屋頂),屋頂型(第二期),20瓩以上不及100瓩,5.1189,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(綠能屋頂),屋頂型(第一期),100瓩以上不及500瓩,4.8655,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(綠能屋頂),屋頂型(第二期),100瓩以上不及500瓩,4.7642,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(綠能屋頂),屋頂型(第一期),500瓩以上,4.7236,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
107,太陽光電(綠能屋頂),屋頂型(第二期),500瓩以上,4.6324,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=5824
108,風力發電,陸域,1瓩以上不及30瓩,7.8759,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,風力發電,陸域(有安裝或具備LVRT者),30瓩以上,2.5438,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,風力發電,陸域(無安裝或具備LVRT者),30瓩以上,2.5124,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,風力發電,離岸(固定20年),1瓩以上,5.516,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,風力發電,離岸(階梯前10年),1瓩以上,6.2795,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,風力發電,離岸(階梯後10年),1瓩以上,4.1422,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,川流式水力,無區分,1瓩以上,2.8325,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,地熱能,無區分(固定20年),1瓩以上,5.1956,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,地熱能,無區分(階梯前10年),1瓩以上,6.171,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,地熱能,無區分(階梯後10年),1瓩以上,3.5685,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,生質能,無厭氧消化設備,1瓩以上,2.5765,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,生質能,有厭氧消化設備,1瓩以上,5.0874,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,廢棄物,無區分,1瓩以上,3.8945,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,其他(海洋能、氫能或其他經中央主管認定可永續利用之能源),無區分,1瓩以上,2.1107,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第一期),1瓩以上不及20瓩,5.7983,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第二期),1瓩以上不及20瓩,5.7983,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第一期),20瓩以上不及100瓩,4.5925,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第二期),20瓩以上不及100瓩,4.5083,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第一期),100瓩以上不及500瓩,4.3175,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第二期),100瓩以上不及500瓩,4.2355,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第一期),500瓩以上無併聯電業特高壓供電線路,4.2313,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第二期),500瓩以上無併聯電業特高壓供電線路,4.1579,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第一期),500瓩以上有併聯電業特高壓供電線路,4.6902,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,屋頂型(第二期),500瓩以上有併聯電業特高壓供電線路,4.6168,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,地面型(第一期),1瓩以上無併聯電業特高壓供電線路,4.1094,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,地面型(第二期),1瓩以上無併聯電業特高壓供電線路,4.0379,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,地面型(第一期),1瓩以上有併聯電業特高壓供電線路,4.556,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,地面型(第二期),1瓩以上有併聯電業特高壓供電線路,4.4846,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,水面型(浮力式)(第一期),1瓩以上無併聯電業特高壓供電線路,4.5016,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,水面型(浮力式)(第二期),1瓩以上無併聯電業特高壓供電線路,4.4324,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,水面型(浮力式)(第一期),1瓩以上有併聯電業特高壓供電線路,4.9345,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電,水面型(浮力式)(第二期),1瓩以上有併聯電業特高壓供電線路,4.8652,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第一期),1瓩以上不及20瓩,6.1462,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第二期),1瓩以上不及20瓩,6.1462,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第一期),20瓩以上不及100瓩,4.8681,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第二期),20瓩以上不及100瓩,4.7788,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第一期),100瓩以上不及500瓩,4.5766,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第二期),100瓩以上不及500瓩,4.4896,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第一期),500瓩以上無併聯電業特高壓供電線路,4.4852,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第二期),500瓩以上無併聯電業特高壓供電線路,4.4074,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第一期),500瓩以上有併聯電業特高壓供電線路,4.9716,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),屋頂型(第二期),500瓩以上有併聯電業特高壓供電線路,4.8938,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),地面型(第一期),1瓩以上無併聯電業特高壓供電線路,4.356,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),地面型(第二期),1瓩以上無併聯電業特高壓供電線路,4.2802,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),地面型(第一期),1瓩以上有併聯電業特高壓供電線路,4.8294,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),地面型(第二期),1瓩以上有併聯電業特高壓供電線路,4.7537,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),水面型(浮力式)(第一期),1瓩以上無併聯電業特高壓供電線路,4.7717,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),水面型(浮力式)(第二期),1瓩以上無併聯電業特高壓供電線路,4.6983,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),水面型(浮力式)(第一期),1瓩以上有併聯電業特高壓供電線路,5.2306,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(高效能),水面型(浮力式)(第二期),1瓩以上有併聯電業特高壓供電線路,5.1571,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第一期),1瓩以上不及20瓩,5.9722,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第二期),1瓩以上不及20瓩,5.9722,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第一期),20瓩以上不及100瓩,4.7303,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第二期),20瓩以上不及100瓩,4.6435,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第一期),100瓩以上不及500瓩,4.447,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第二期),100瓩以上不及500瓩,4.3626,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第一期),500瓩以上無併聯電業特高壓供電線路,4.3582,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第二期),500瓩以上無併聯電業特高壓供電線路,4.2826,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第一期),500瓩以上有併聯電業特高壓供電線路,4.8309,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
108,太陽光電(綠能屋頂),屋頂型(第二期),500瓩以上有併聯電業特高壓供電線路,4.7553,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,陸域,1瓩以上不及30瓩,7.7998,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,陸域(有安裝或具備LVRT者),30瓩以上,2.3219,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,陸域(無安裝或具備LVRT者),30瓩以上,2.2888,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,離岸(固定20年躉購費率(上限費率)),1瓩以上,5.0946,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,離岸(階梯式躉購費率(前10年)),1瓩以上,5.8015,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,風力發電,離岸(階梯式躉購費率(後10年)),1瓩以上,3.8227,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,小水力發電,無區分,1瓩以上,2.8599,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,地熱能,無區分(固定20年躉購費率),1瓩以上,5.1956,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,地熱能,無區分(階梯式躉購費率(前10年)),1瓩以上,6.171,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,地熱能,無區分(階梯式躉購費率(後10年)),1瓩以上,3.5685,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,生質能,無厭氧消化設備,1瓩以上,2.6871,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,生質能,有厭氧消化設備,1瓩以上,5.1176,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,廢棄物,無區分,1瓩以上,3.9482,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第一期),1瓩以上不及20瓩,5.7132,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第二期),1瓩以上不及20瓩,5.7132,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第一期),20瓩以上不及100瓩,4.4366,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第二期),20瓩以上不及100瓩,4.3701,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第一期),100瓩以上不及500瓩,4.1372,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(第二期),100瓩以上不及500瓩,4.0722,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(無併聯電業特高壓供電線路)(第一期),500瓩以上,4.0571,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(無併聯電業特高壓供電線路)(第二期),500瓩以上,3.9917,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(有併聯電業特高壓供電線路)((第一期),500瓩以上,4.0571,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,屋頂型(有併聯電業特高壓供電線路)(第二期),500瓩以上,3.9917,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,地面型(無併聯電業特高壓供電線路)((第一期),1瓩以上,3.9383,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,地面型(無併聯電業特高壓供電線路)(第二期),1瓩以上,3.8752,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,地面型(有併聯電業特高壓供電線路)(第一期),1瓩以上,3.9383,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,地面型(有併聯電業特高壓供電線路)(第二期),1瓩以上,3.8752,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,水面型(浮力式)(無併聯電業特高壓供電線路)(第一期),1瓩以上,4.3319,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,水面型(浮力式)(無併聯電業特高壓供電線路)(第二期),1瓩以上,4.2709,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,水面型(浮力式)(有併聯電業特高壓供電線路)(第一期),1瓩以上,4.3319,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
109,太陽光電,水面型(浮力式)(有併聯電業特高壓供電線路)(第二期),1瓩以上,4.2709,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,陸域,1瓩以上不及30瓩,7.7725,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,陸域(有安裝或具備LVRT者),30瓩以上,2.3041,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,陸域(無安裝或具備LVRT者),30瓩以上,2.3041,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,離岸(固定20年),1瓩以上,4.6568,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,離岸(階梯前10年),1瓩以上,5.3064,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,風力發電,離岸(階梯後10年),1瓩以上,3.5206,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,小水力,無區分,1瓩以上不及2,3.1683,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=330
110,小水力,無區分,2000瓩以上不及20000瓩,2.8599,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,地熱能,無區分(固定20年),1瓩以上,5.1956,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,地熱能,無區分(階梯前10年),1瓩以上,6.171,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,地熱能,無區分(階梯後10年),1瓩以上,3.5685,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,生質能,無厭氧消化設備,1瓩以上,2.6884,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,生質能,有厭氧消化設備,1瓩以上,5.1176,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,廢棄物,無區分,1瓩以上,3.9482,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期),1瓩以上不及20瓩,5.7363,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期),1瓩以上不及20瓩,5.6937,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期),20瓩以上不及100瓩,4.396,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期),20瓩以上不及100瓩,4.3562,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期),100瓩以上不及500瓩,4.0631,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期),100瓩以上不及500瓩,3.9883,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期)(無併聯電業特高壓供電線路者),500瓩以上,4.0105,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第一期)(有併聯電業特高壓供電線路者),500瓩以上,4.4847,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期)(無併聯電業特高壓供電線路者),500瓩以上,3.9636,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,屋頂型(第二期)(有併聯電業特高壓供電線路者),500瓩以上,4.4378,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,地面型(第一期)(無併聯電業特高壓供電線路者),1瓩以上,3.865,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,地面型(第一期)(有併聯電業特高壓供電線路者),1瓩以上,4.3104,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,地面型(第二期)(無併聯電業特高壓供電線路者),1瓩以上,3.7892,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,地面型(第二期)(有併聯電業特高壓供電線路者),1瓩以上,4.2346,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,水面型(浮力式)(第一期)(無併聯電業特高壓供電線路者),1瓩以上,4.2613,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,水面型(浮力式)(第一期)(有併聯電業特高壓供電線路者),1瓩以上,4.6923,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,水面型(浮力式)(第二期)(無併聯電業特高壓供電線路者),1瓩以上,4.186,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
110,太陽光電,水面型(浮力式)(第二期)(有併聯電業特高壓供電線路者),1瓩以上,4.617,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,陸域,1瓩以上不及30瓩,7.411,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,陸域(有安裝或具備LVRT者),30瓩以上,2.1223,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,陸域(無安裝或具備LVRT者),30瓩以上,2.0883,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,離岸(固定20年),1瓩以上,4.5024,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,離岸(階梯前10年),1瓩以上,5.1356,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,風力發電,離岸(階梯後10年),1瓩以上,3.4001,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,小水力,無區分,500瓩以上不及2000瓩,4.1539,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,小水力,無區分,2000瓩以上不及20000瓩,2.8599,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(固定20年),1瓩以上不及2000瓩,5.7736,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(階梯前10年),1瓩以上不及2000瓩,7.0731,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(階梯後10年),11瓩以上不及2000瓩,3.6012,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(固定20年),2000瓩以上,5.1956,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(階梯前10年),2000瓩以上,6.171,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,地熱能,無區分(階梯後10年),2000瓩以上,3.5685,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,生質能,無厭氧消化設備,1瓩以上,2.8066,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,生質能,有厭氧消化設備,1瓩以上,5.1842,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,廢棄物,一般及一般事業廢棄物,1瓩以上,3.9482,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,廢棄物,農業廢棄物,1瓩以上,5.1407,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,海洋能,無區分,1瓩以上,7.32,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第一期),1瓩以上不及20瓩,5.8952,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
111,太陽光電,屋頂型(第二期),1瓩以上不及20瓩,5.7848,https://www.moeaboe.gov.tw/ECW/populace/Law/LawsList.aspx?kind=6&menu_id=3302
