站名,年份,月份,總日照時數h,總日射量MJ/ m2
桃改樹林分場,1999,1,254.5,427.2
茶改北部分場,1999,1,249.9,431.5
桃園農改,1999,1,286.0,533.5
茶改場,1999,1,276.5,504.4
農工中心,1999,1,268.5,478.7
桃改五峰分場,1999,1,253.8,436.2
桃改新埔分場,1999,1,288.9,510.0
畜試北區分所,1999,1,315.6,719.9
苗改生物防治研究中心,1999,1,297.9,556.5
苗栗農改,1999,1,301.2,601.6
種苗繁殖,1999,1,297.5,539.4
農業試驗所,1999,1,214.3,377.8
王功漁港,1999,1,295.4,547.3
臺中農改,1999,1,293.4,538.6
中改埔里分場,1999,1,*252.9,*398.1
林試畢祿溪站,1999,1,*246.2,*422.7
臺大內茅埔,1999,1,229.0,364.4
臺大和社,1999,1,234.6,370.7
臺大溪頭,1999,1,200.1,291.0
臺大竹山,1999,1,276.4,478.3
茶改中部分場,1999,1,260.8,418.9
茶改南部分場,1999,1,275.2,475.7
萬大發電廠,1999,1,258.1,468.2
蓮華池,1999,1,261.3,407.1
南改斗南分場,1999,1,289.5,532.4
口湖工作站,1999,1,294.1,560.1
四湖植物園,1999,1,288.5,535.2
水試臺西試驗場,1999,1,*283.6,*527.5
海口故事園區,1999,1,275.7,498.4
臺大雲林校區,1999,1,292.1,536.9
麥寮合作社,1999,1,296.4,551.4
農試嘉義分所,1999,1,*257.4,*455.8
南改義竹分場,1999,1,290.6,536.8
南改鹿草分場,1999,1,287.1,530.9
布袋國中,1999,1,288.5,549.3
農試溪口農場,1999,1,*264.0,*496.3
七股研究中心,1999,1,294.2,561.9
六官養殖協會,1999,1,291.6,534.9
水試所海水繁養殖中心,1999,1,288.3,543.5
畜試所,1999,1,293.8,532.0
臺南蘭花園區,1999,1,287.8,525.4
臺南農改,1999,1,295.8,539.3
林試六龜中心,1999,1,293.1,556.2
林試扇平站,1999,1,254.2,445.7
農試鳳山分所,1999,1,*280.6,*506.7
高改旗南分場,1999,1,*281.8,*511.7
崎峰國小,1999,1,303.7,607.6
恆春工作站,1999,1,XXX,XXX
東港工作站,1999,1,306.5,613.5
畜試南區分所,1999,1,*296.5,*618.7
高雄農改,1999,1,312.5,717.9
畜試東區分所,1999,1,258.3,448.9
花改蘭陽分場,1999,1,248.4,410.9
花蓮農改,1999,1,243.1,383.7
東改班鳩分場,1999,1,231.4,352.9
東改賓朗果園,1999,1,*223.5,*342.0
林試太麻里1,1999,1,250.0,429.1
林試太麻里2,1999,1,*252.8,*456.9
茶改東部分場,1999,1,*236.9,*399.6
桃改樹林分場,1999,2,254.5,427.2
茶改北部分場,1999,2,249.9,431.5
桃園農改,1999,2,286.0,533.5
茶改場,1999,2,276.5,504.4
農工中心,1999,2,268.5,478.7
桃改五峰分場,1999,2,253.8,436.2
桃改新埔分場,1999,2,288.9,510.0
畜試北區分所,1999,2,315.6,719.9
苗改生物防治研究中心,1999,2,297.9,556.5
苗栗農改,1999,2,301.2,601.6
種苗繁殖,1999,2,297.5,539.4
農業試驗所,1999,2,214.3,377.8
王功漁港,1999,2,295.4,547.3
臺中農改,1999,2,293.4,538.6
中改埔里分場,1999,2,*252.9,*398.1
林試畢祿溪站,1999,2,*246.2,*422.7
臺大內茅埔,1999,2,229.0,364.4
臺大和社,1999,2,234.6,370.7
臺大溪頭,1999,2,200.1,291.0
臺大竹山,1999,2,276.4,478.3
茶改中部分場,1999,2,260.8,418.9
茶改南部分場,1999,2,275.2,475.7
萬大發電廠,1999,2,258.1,468.2
蓮華池,1999,2,261.3,407.1
南改斗南分場,1999,2,289.5,532.4
口湖工作站,1999,2,294.1,560.1
四湖植物園,1999,2,288.5,535.2
水試臺西試驗場,1999,2,*283.6,*527.5
海口故事園區,1999,2,275.7,498.4
臺大雲林校區,1999,2,292.1,536.9
麥寮合作社,1999,2,296.4,551.4
農試嘉義分所,1999,2,*257.4,*455.8
南改義竹分場,1999,2,290.6,536.8
南改鹿草分場,1999,2,287.1,530.9
布袋國中,1999,2,288.5,549.3
農試溪口農場,1999,2,*264.0,*496.3
七股研究中心,1999,2,294.2,561.9
六官養殖協會,1999,2,291.6,534.9
水試所海水繁養殖中心,1999,2,288.3,543.5
畜試所,1999,2,293.8,532.0
臺南蘭花園區,1999,2,287.8,525.4
臺南農改,1999,2,295.8,539.3
林試六龜中心,1999,2,293.1,556.2
林試扇平站,1999,2,254.2,445.7
農試鳳山分所,1999,2,*280.6,*506.7
高改旗南分場,1999,2,*281.8,*511.7
崎峰國小,1999,2,303.7,607.6
恆春工作站,1999,2,XXX,XXX
東港工作站,1999,2,306.5,613.5
畜試南區分所,1999,2,*296.5,*618.7
高雄農改,1999,2,312.5,717.9
畜試東區分所,1999,2,258.3,448.9
花改蘭陽分場,1999,2,248.4,410.9
花蓮農改,1999,2,243.1,383.7
東改班鳩分場,1999,2,231.4,352.9
東改賓朗果園,1999,2,*223.5,*342.0
林試太麻里1,1999,2,250.0,429.1
林試太麻里2,1999,2,*252.8,*456.9
茶改東部分場,1999,2,*236.9,*399.6
桃改樹林分場,1999,3,254.5,427.2
茶改北部分場,1999,3,249.9,431.5
桃園農改,1999,3,286.0,533.5
茶改場,1999,3,276.5,504.4
農工中心,1999,3,268.5,478.7
桃改五峰分場,1999,3,253.8,436.2
桃改新埔分場,1999,3,288.9,510.0
畜試北區分所,1999,3,315.6,719.9
苗改生物防治研究中心,1999,3,297.9,556.5
苗栗農改,1999,3,301.2,601.6
種苗繁殖,1999,3,297.5,539.4
農業試驗所,1999,3,214.3,377.8
王功漁港,1999,3,295.4,547.3
臺中農改,1999,3,293.4,538.6
中改埔里分場,1999,3,*252.9,*398.1
林試畢祿溪站,1999,3,*246.2,*422.7
臺大內茅埔,1999,3,229.0,364.4
臺大和社,1999,3,234.6,370.7
臺大溪頭,1999,3,200.1,291.0
臺大竹山,1999,3,276.4,478.3
茶改中部分場,1999,3,260.8,418.9
茶改南部分場,1999,3,275.2,475.7
萬大發電廠,1999,3,258.1,468.2
蓮華池,1999,3,261.3,407.1
南改斗南分場,1999,3,289.5,532.4
口湖工作站,1999,3,294.1,560.1
四湖植物園,1999,3,288.5,535.2
水試臺西試驗場,1999,3,*283.6,*527.5
海口故事園區,1999,3,275.7,498.4
臺大雲林校區,1999,3,292.1,536.9
麥寮合作社,1999,3,296.4,551.4
農試嘉義分所,1999,3,*257.4,*455.8
南改義竹分場,1999,3,290.6,536.8
南改鹿草分場,1999,3,287.1,530.9
布袋國中,1999,3,288.5,549.3
農試溪口農場,1999,3,*264.0,*496.3
七股研究中心,1999,3,294.2,561.9
六官養殖協會,1999,3,291.6,534.9
水試所海水繁養殖中心,1999,3,288.3,543.5
畜試所,1999,3,293.8,532.0
臺南蘭花園區,1999,3,287.8,525.4
臺南農改,1999,3,295.8,539.3
林試六龜中心,1999,3,293.1,556.2
林試扇平站,1999,3,254.2,445.7
農試鳳山分所,1999,3,*280.6,*506.7
高改旗南分場,1999,3,*281.8,*511.7
崎峰國小,1999,3,303.7,607.6
恆春工作站,1999,3,XXX,XXX
東港工作站,1999,3,306.5,613.5
畜試南區分所,1999,3,*296.5,*618.7
高雄農改,1999,3,312.5,717.9
畜試東區分所,1999,3,258.3,448.9
花改蘭陽分場,1999,3,248.4,410.9
花蓮農改,1999,3,243.1,383.7
東改班鳩分場,1999,3,231.4,352.9
東改賓朗果園,1999,3,*223.5,*342.0
林試太麻里1,1999,3,250.0,429.1
林試太麻里2,1999,3,*252.8,*456.9
茶改東部分場,1999,3,*236.9,*399.6
桃改樹林分場,1999,4,254.5,427.2
茶改北部分場,1999,4,249.9,431.5
桃園農改,1999,4,286.0,533.5
茶改場,1999,4,276.5,504.4
農工中心,1999,4,268.5,478.7
桃改五峰分場,1999,4,253.8,436.2
桃改新埔分場,1999,4,288.9,510.0
畜試北區分所,1999,4,315.6,719.9
苗改生物防治研究中心,1999,4,297.9,556.5
苗栗農改,1999,4,301.2,601.6
種苗繁殖,1999,4,297.5,539.4
農業試驗所,1999,4,214.3,377.8
王功漁港,1999,4,295.4,547.3
臺中農改,1999,4,293.4,538.6
中改埔里分場,1999,4,*252.9,*398.1
林試畢祿溪站,1999,4,*246.2,*422.7
臺大內茅埔,1999,4,229.0,364.4
臺大和社,1999,4,234.6,370.7
臺大溪頭,1999,4,200.1,291.0
臺大竹山,1999,4,276.4,478.3
茶改中部分場,1999,4,260.8,418.9
茶改南部分場,1999,4,275.2,475.7
萬大發電廠,1999,4,258.1,468.2
蓮華池,1999,4,261.3,407.1
南改斗南分場,1999,4,289.5,532.4
口湖工作站,1999,4,294.1,560.1
四湖植物園,1999,4,288.5,535.2
水試臺西試驗場,1999,4,*283.6,*527.5
海口故事園區,1999,4,275.7,498.4
臺大雲林校區,1999,4,292.1,536.9
麥寮合作社,1999,4,296.4,551.4
農試嘉義分所,1999,4,*257.4,*455.8
南改義竹分場,1999,4,290.6,536.8
南改鹿草分場,1999,4,287.1,530.9
布袋國中,1999,4,288.5,549.3
農試溪口農場,1999,4,*264.0,*496.3
七股研究中心,1999,4,294.2,561.9
六官養殖協會,1999,4,291.6,534.9
水試所海水繁養殖中心,1999,4,288.3,543.5
畜試所,1999,4,293.8,532.0
臺南蘭花園區,1999,4,287.8,525.4
臺南農改,1999,4,295.8,539.3
林試六龜中心,1999,4,293.1,556.2
林試扇平站,1999,4,254.2,445.7
農試鳳山分所,1999,4,*280.6,*506.7
高改旗南分場,1999,4,*281.8,*511.7
崎峰國小,1999,4,303.7,607.6
恆春工作站,1999,4,XXX,XXX
東港工作站,1999,4,306.5,613.5
畜試南區分所,1999,4,*296.5,*618.7
高雄農改,1999,4,312.5,717.9
畜試東區分所,1999,4,258.3,448.9
花改蘭陽分場,1999,4,248.4,410.9
花蓮農改,1999,4,243.1,383.7
東改班鳩分場,1999,4,231.4,352.9
東改賓朗果園,1999,4,*223.5,*342.0
林試太麻里1,1999,4,250.0,429.1
林試太麻里2,1999,4,*252.8,*456.9
茶改東部分場,1999,4,*236.9,*399.6
桃改樹林分場,1999,5,254.5,427.2
茶改北部分場,1999,5,249.9,431.5
桃園農改,1999,5,286.0,533.5
茶改場,1999,5,276.5,504.4
農工中心,1999,5,268.5,478.7
桃改五峰分場,1999,5,253.8,436.2
桃改新埔分場,1999,5,288.9,510.0
畜試北區分所,1999,5,315.6,719.9
苗改生物防治研究中心,1999,5,297.9,556.5
苗栗農改,1999,5,301.2,601.6
種苗繁殖,1999,5,297.5,539.4
農業試驗所,1999,5,214.3,377.8
王功漁港,1999,5,295.4,547.3
臺中農改,1999,5,293.4,538.6
中改埔里分場,1999,5,*252.9,*398.1
林試畢祿溪站,1999,5,*246.2,*422.7
臺大內茅埔,1999,5,229.0,364.4
臺大和社,1999,5,234.6,370.7
臺大溪頭,1999,5,200.1,291.0
臺大竹山,1999,5,276.4,478.3
茶改中部分場,1999,5,260.8,418.9
茶改南部分場,1999,5,275.2,475.7
萬大發電廠,1999,5,258.1,468.2
蓮華池,1999,5,261.3,407.1
南改斗南分場,1999,5,289.5,532.4
口湖工作站,1999,5,294.1,560.1
四湖植物園,1999,5,288.5,535.2
水試臺西試驗場,1999,5,*283.6,*527.5
海口故事園區,1999,5,275.7,498.4
臺大雲林校區,1999,5,292.1,536.9
麥寮合作社,1999,5,296.4,551.4
農試嘉義分所,1999,5,*257.4,*455.8
南改義竹分場,1999,5,290.6,536.8
南改鹿草分場,1999,5,287.1,530.9
布袋國中,1999,5,288.5,549.3
農試溪口農場,1999,5,*264.0,*496.3
七股研究中心,1999,5,294.2,561.9
六官養殖協會,1999,5,291.6,534.9
水試所海水繁養殖中心,1999,5,288.3,543.5
畜試所,1999,5,293.8,532.0
臺南蘭花園區,1999,5,287.8,525.4
臺南農改,1999,5,295.8,539.3
林試六龜中心,1999,5,293.1,556.2
林試扇平站,1999,5,254.2,445.7
農試鳳山分所,1999,5,*280.6,*506.7
高改旗南分場,1999,5,*281.8,*511.7
崎峰國小,1999,5,303.7,607.6
恆春工作站,1999,5,XXX,XXX
東港工作站,1999,5,306.5,613.5
畜試南區分所,1999,5,*296.5,*618.7
高雄農改,1999,5,312.5,717.9
畜試東區分所,1999,5,258.3,448.9
花改蘭陽分場,1999,5,248.4,410.9
花蓮農改,1999,5,243.1,383.7
東改班鳩分場,1999,5,231.4,352.9
東改賓朗果園,1999,5,*223.5,*342.0
林試太麻里1,1999,5,250.0,429.1
林試太麻里2,1999,5,*252.8,*456.9
茶改東部分場,1999,5,*236.9,*399.6
桃改樹林分場,1999,6,254.5,427.2
茶改北部分場,1999,6,249.9,431.5
桃園農改,1999,6,286.0,533.5
茶改場,1999,6,276.5,504.4
農工中心,1999,6,268.5,478.7
桃改五峰分場,1999,6,253.8,436.2
桃改新埔分場,1999,6,288.9,510.0
畜試北區分所,1999,6,315.6,719.9
苗改生物防治研究中心,1999,6,297.9,556.5
苗栗農改,1999,6,301.2,601.6
種苗繁殖,1999,6,297.5,539.4
農業試驗所,1999,6,214.3,377.8
王功漁港,1999,6,295.4,547.3
臺中農改,1999,6,293.4,538.6
中改埔里分場,1999,6,*252.9,*398.1
林試畢祿溪站,1999,6,*246.2,*422.7
臺大內茅埔,1999,6,229.0,364.4
臺大和社,1999,6,234.6,370.7
臺大溪頭,1999,6,200.1,291.0
臺大竹山,1999,6,276.4,478.3
茶改中部分場,1999,6,260.8,418.9
茶改南部分場,1999,6,275.2,475.7
萬大發電廠,1999,6,258.1,468.2
蓮華池,1999,6,261.3,407.1
南改斗南分場,1999,6,289.5,532.4
口湖工作站,1999,6,294.1,560.1
四湖植物園,1999,6,288.5,535.2
水試臺西試驗場,1999,6,*283.6,*527.5
海口故事園區,1999,6,275.7,498.4
臺大雲林校區,1999,6,292.1,536.9
麥寮合作社,1999,6,296.4,551.4
農試嘉義分所,1999,6,*257.4,*455.8
南改義竹分場,1999,6,290.6,536.8
南改鹿草分場,1999,6,287.1,530.9
布袋國中,1999,6,288.5,549.3
農試溪口農場,1999,6,*264.0,*496.3
七股研究中心,1999,6,294.2,561.9
六官養殖協會,1999,6,291.6,534.9
水試所海水繁養殖中心,1999,6,288.3,543.5
畜試所,1999,6,293.8,532.0
臺南蘭花園區,1999,6,287.8,525.4
臺南農改,1999,6,295.8,539.3
林試六龜中心,1999,6,293.1,556.2
林試扇平站,1999,6,254.2,445.7
農試鳳山分所,1999,6,*280.6,*506.7
高改旗南分場,1999,6,*281.8,*511.7
崎峰國小,1999,6,303.7,607.6
恆春工作站,1999,6,XXX,XXX
東港工作站,1999,6,306.5,613.5
畜試南區分所,1999,6,*296.5,*618.7
高雄農改,1999,6,312.5,717.9
畜試東區分所,1999,6,258.3,448.9
花改蘭陽分場,1999,6,248.4,410.9
花蓮農改,1999,6,243.1,383.7
東改班鳩分場,1999,6,231.4,352.9
東改賓朗果園,1999,6,*223.5,*342.0
林試太麻里1,1999,6,250.0,429.1
林試太麻里2,1999,6,*252.8,*456.9
茶改東部分場,1999,6,*236.9,*399.6
桃改樹林分場,1999,7,254.5,427.2
茶改北部分場,1999,7,249.9,431.5
桃園農改,1999,7,286.0,533.5
茶改場,1999,7,276.5,504.4
農工中心,1999,7,268.5,478.7
桃改五峰分場,1999,7,253.8,436.2
桃改新埔分場,1999,7,288.9,510.0
畜試北區分所,1999,7,315.6,719.9
苗改生物防治研究中心,1999,7,297.9,556.5
苗栗農改,1999,7,301.2,601.6
種苗繁殖,1999,7,297.5,539.4
農業試驗所,1999,7,214.3,377.8
王功漁港,1999,7,295.4,547.3
臺中農改,1999,7,293.4,538.6
中改埔里分場,1999,7,*252.9,*398.1
林試畢祿溪站,1999,7,*246.2,*422.7
臺大內茅埔,1999,7,229.0,364.4
臺大和社,1999,7,234.6,370.7
臺大溪頭,1999,7,200.1,291.0
臺大竹山,1999,7,276.4,478.3
茶改中部分場,1999,7,260.8,418.9
茶改南部分場,1999,7,275.2,475.7
萬大發電廠,1999,7,258.1,468.2
蓮華池,1999,7,261.3,407.1
南改斗南分場,1999,7,289.5,532.4
口湖工作站,1999,7,294.1,560.1
四湖植物園,1999,7,288.5,535.2
水試臺西試驗場,1999,7,*283.6,*527.5
海口故事園區,1999,7,275.7,498.4
臺大雲林校區,1999,7,292.1,536.9
麥寮合作社,1999,7,296.4,551.4
農試嘉義分所,1999,7,*257.4,*455.8
南改義竹分場,1999,7,290.6,536.8
南改鹿草分場,1999,7,287.1,530.9
布袋國中,1999,7,288.5,549.3
農試溪口農場,1999,7,*264.0,*496.3
七股研究中心,1999,7,294.2,561.9
六官養殖協會,1999,7,291.6,534.9
水試所海水繁養殖中心,1999,7,288.3,543.5
畜試所,1999,7,293.8,532.0
臺南蘭花園區,1999,7,287.8,525.4
臺南農改,1999,7,295.8,539.3
林試六龜中心,1999,7,293.1,556.2
林試扇平站,1999,7,254.2,445.7
農試鳳山分所,1999,7,*280.6,*506.7
高改旗南分場,1999,7,*281.8,*511.7
崎峰國小,1999,7,303.7,607.6
恆春工作站,1999,7,XXX,XXX
東港工作站,1999,7,306.5,613.5
畜試南區分所,1999,7,*296.5,*618.7
高雄農改,1999,7,312.5,717.9
畜試東區分所,1999,7,258.3,448.9
花改蘭陽分場,1999,7,248.4,410.9
花蓮農改,1999,7,243.1,383.7
東改班鳩分場,1999,7,231.4,352.9
東改賓朗果園,1999,7,*223.5,*342.0
林試太麻里1,1999,7,250.0,429.1
林試太麻里2,1999,7,*252.8,*456.9
茶改東部分場,1999,7,*236.9,*399.6
桃改樹林分場,1999,8,254.5,427.2
茶改北部分場,1999,8,249.9,431.5
桃園農改,1999,8,286.0,533.5
茶改場,1999,8,276.5,504.4
農工中心,1999,8,268.5,478.7
桃改五峰分場,1999,8,253.8,436.2
桃改新埔分場,1999,8,288.9,510.0
畜試北區分所,1999,8,315.6,719.9
苗改生物防治研究中心,1999,8,297.9,556.5
苗栗農改,1999,8,301.2,601.6
種苗繁殖,1999,8,297.5,539.4
農業試驗所,1999,8,214.3,377.8
王功漁港,1999,8,295.4,547.3
臺中農改,1999,8,293.4,538.6
中改埔里分場,1999,8,*252.9,*398.1
林試畢祿溪站,1999,8,*246.2,*422.7
臺大內茅埔,1999,8,229.0,364.4
臺大和社,1999,8,234.6,370.7
臺大溪頭,1999,8,200.1,291.0
臺大竹山,1999,8,276.4,478.3
茶改中部分場,1999,8,260.8,418.9
茶改南部分場,1999,8,275.2,475.7
萬大發電廠,1999,8,258.1,468.2
蓮華池,1999,8,261.3,407.1
南改斗南分場,1999,8,289.5,532.4
口湖工作站,1999,8,294.1,560.1
四湖植物園,1999,8,288.5,535.2
水試臺西試驗場,1999,8,*283.6,*527.5
海口故事園區,1999,8,275.7,498.4
臺大雲林校區,1999,8,292.1,536.9
麥寮合作社,1999,8,296.4,551.4
農試嘉義分所,1999,8,*257.4,*455.8
南改義竹分場,1999,8,290.6,536.8
南改鹿草分場,1999,8,287.1,530.9
布袋國中,1999,8,288.5,549.3
農試溪口農場,1999,8,*264.0,*496.3
七股研究中心,1999,8,294.2,561.9
六官養殖協會,1999,8,291.6,534.9
水試所海水繁養殖中心,1999,8,288.3,543.5
畜試所,1999,8,293.8,532.0
臺南蘭花園區,1999,8,287.8,525.4
臺南農改,1999,8,295.8,539.3
林試六龜中心,1999,8,293.1,556.2
林試扇平站,1999,8,254.2,445.7
農試鳳山分所,1999,8,*280.6,*506.7
高改旗南分場,1999,8,*281.8,*511.7
崎峰國小,1999,8,303.7,607.6
恆春工作站,1999,8,XXX,XXX
東港工作站,1999,8,306.5,613.5
畜試南區分所,1999,8,*296.5,*618.7
高雄農改,1999,8,312.5,717.9
畜試東區分所,1999,8,258.3,448.9
花改蘭陽分場,1999,8,248.4,410.9
花蓮農改,1999,8,243.1,383.7
東改班鳩分場,1999,8,231.4,352.9
東改賓朗果園,1999,8,*223.5,*342.0
林試太麻里1,1999,8,250.0,429.1
林試太麻里2,1999,8,*252.8,*456.9
茶改東部分場,1999,8,*236.9,*399.6
桃改樹林分場,1999,10,254.5,427.2
茶改北部分場,1999,10,249.9,431.5
桃園農改,1999,10,286.0,533.5
茶改場,1999,10,276.5,504.4
農工中心,1999,10,268.5,478.7
桃改五峰分場,1999,10,253.8,436.2
桃改新埔分場,1999,10,288.9,510.0
畜試北區分所,1999,10,315.6,719.9
苗改生物防治研究中心,1999,10,297.9,556.5
苗栗農改,1999,10,301.2,601.6
種苗繁殖,1999,10,297.5,539.4
農業試驗所,1999,10,214.3,377.8
王功漁港,1999,10,295.4,547.3
臺中農改,1999,10,293.4,538.6
中改埔里分場,1999,10,*252.9,*398.1
林試畢祿溪站,1999,10,*246.2,*422.7
臺大內茅埔,1999,10,229.0,364.4
臺大和社,1999,10,234.6,370.7
臺大溪頭,1999,10,200.1,291.0
臺大竹山,1999,10,276.4,478.3
茶改中部分場,1999,10,260.8,418.9
茶改南部分場,1999,10,275.2,475.7
萬大發電廠,1999,10,258.1,468.2
蓮華池,1999,10,261.3,407.1
南改斗南分場,1999,10,289.5,532.4
口湖工作站,1999,10,294.1,560.1
四湖植物園,1999,10,288.5,535.2
水試臺西試驗場,1999,10,*283.6,*527.5
海口故事園區,1999,10,275.7,498.4
臺大雲林校區,1999,10,292.1,536.9
麥寮合作社,1999,10,296.4,551.4
農試嘉義分所,1999,10,*257.4,*455.8
南改義竹分場,1999,10,290.6,536.8
南改鹿草分場,1999,10,287.1,530.9
布袋國中,1999,10,288.5,549.3
農試溪口農場,1999,10,*264.0,*496.3
七股研究中心,1999,10,294.2,561.9
六官養殖協會,1999,10,291.6,534.9
水試所海水繁養殖中心,1999,10,288.3,543.5
畜試所,1999,10,293.8,532.0
臺南蘭花園區,1999,10,287.8,525.4
臺南農改,1999,10,295.8,539.3
林試六龜中心,1999,10,293.1,556.2
林試扇平站,1999,10,254.2,445.7
農試鳳山分所,1999,10,*280.6,*506.7
高改旗南分場,1999,10,*281.8,*511.7
崎峰國小,1999,10,303.7,607.6
恆春工作站,1999,10,XXX,XXX
東港工作站,1999,10,306.5,613.5
畜試南區分所,1999,10,*296.5,*618.7
高雄農改,1999,10,312.5,717.9
畜試東區分所,1999,10,258.3,448.9
花改蘭陽分場,1999,10,248.4,410.9
花蓮農改,1999,10,243.1,383.7
東改班鳩分場,1999,10,231.4,352.9
東改賓朗果園,1999,10,*223.5,*342.0
林試太麻里1,1999,10,250.0,429.1
林試太麻里2,1999,10,*252.8,*456.9
茶改東部分場,1999,10,*236.9,*399.6
桃改樹林分場,1999,11,254.5,427.2
茶改北部分場,1999,11,249.9,431.5
桃園農改,1999,11,286.0,533.5
茶改場,1999,11,276.5,504.4
農工中心,1999,11,268.5,478.7
桃改五峰分場,1999,11,253.8,436.2
桃改新埔分場,1999,11,288.9,510.0
畜試北區分所,1999,11,315.6,719.9
苗改生物防治研究中心,1999,11,297.9,556.5
苗栗農改,1999,11,301.2,601.6
種苗繁殖,1999,11,297.5,539.4
農業試驗所,1999,11,214.3,377.8
王功漁港,1999,11,295.4,547.3
臺中農改,1999,11,293.4,538.6
中改埔里分場,1999,11,*252.9,*398.1
林試畢祿溪站,1999,11,*246.2,*422.7
臺大內茅埔,1999,11,229.0,364.4
臺大和社,1999,11,234.6,370.7
臺大溪頭,1999,11,200.1,291.0
臺大竹山,1999,11,276.4,478.3
茶改中部分場,1999,11,260.8,418.9
茶改南部分場,1999,11,275.2,475.7
萬大發電廠,1999,11,258.1,468.2
蓮華池,1999,11,261.3,407.1
南改斗南分場,1999,11,289.5,532.4
口湖工作站,1999,11,294.1,560.1
四湖植物園,1999,11,288.5,535.2
水試臺西試驗場,1999,11,*283.6,*527.5
海口故事園區,1999,11,275.7,498.4
臺大雲林校區,1999,11,292.1,536.9
麥寮合作社,1999,11,296.4,551.4
農試嘉義分所,1999,11,*257.4,*455.8
南改義竹分場,1999,11,290.6,536.8
南改鹿草分場,1999,11,287.1,530.9
布袋國中,1999,11,288.5,549.3
農試溪口農場,1999,11,*264.0,*496.3
七股研究中心,1999,11,294.2,561.9
六官養殖協會,1999,11,291.6,534.9
水試所海水繁養殖中心,1999,11,288.3,543.5
畜試所,1999,11,293.8,532.0
臺南蘭花園區,1999,11,287.8,525.4
臺南農改,1999,11,295.8,539.3
林試六龜中心,1999,11,293.1,556.2
林試扇平站,1999,11,254.2,445.7
農試鳳山分所,1999,11,*280.6,*506.7
高改旗南分場,1999,11,*281.8,*511.7
崎峰國小,1999,11,303.7,607.6
恆春工作站,1999,11,XXX,XXX
東港工作站,1999,11,306.5,613.5
畜試南區分所,1999,11,*296.5,*618.7
高雄農改,1999,11,312.5,717.9
畜試東區分所,1999,11,258.3,448.9
花改蘭陽分場,1999,11,248.4,410.9
花蓮農改,1999,11,243.1,383.7
東改班鳩分場,1999,11,231.4,352.9
東改賓朗果園,1999,11,*223.5,*342.0
林試太麻里1,1999,11,250.0,429.1
林試太麻里2,1999,11,*252.8,*456.9
茶改東部分場,1999,11,*236.9,*399.6
桃改樹林分場,1999,12,254.5,427.2
茶改北部分場,1999,12,249.9,431.5
桃園農改,1999,12,286.0,533.5
茶改場,1999,12,276.5,504.4
農工中心,1999,12,268.5,478.7
桃改五峰分場,1999,12,253.8,436.2
桃改新埔分場,1999,12,288.9,510.0
畜試北區分所,1999,12,315.6,719.9
苗改生物防治研究中心,1999,12,297.9,556.5
苗栗農改,1999,12,301.2,601.6
種苗繁殖,1999,12,297.5,539.4
農業試驗所,1999,12,214.3,377.8
王功漁港,1999,12,295.4,547.3
臺中農改,1999,12,293.4,538.6
中改埔里分場,1999,12,*252.9,*398.1
林試畢祿溪站,1999,12,*246.2,*422.7
臺大內茅埔,1999,12,229.0,364.4
臺大和社,1999,12,234.6,370.7
臺大溪頭,1999,12,200.1,291.0
臺大竹山,1999,12,276.4,478.3
茶改中部分場,1999,12,260.8,418.9
茶改南部分場,1999,12,275.2,475.7
萬大發電廠,1999,12,258.1,468.2
蓮華池,1999,12,261.3,407.1
南改斗南分場,1999,12,289.5,532.4
口湖工作站,1999,12,294.1,560.1
四湖植物園,1999,12,288.5,535.2
水試臺西試驗場,1999,12,*283.6,*527.5
海口故事園區,1999,12,275.7,498.4
臺大雲林校區,1999,12,292.1,536.9
麥寮合作社,1999,12,296.4,551.4
農試嘉義分所,1999,12,*257.4,*455.8
南改義竹分場,1999,12,290.6,536.8
南改鹿草分場,1999,12,287.1,530.9
布袋國中,1999,12,288.5,549.3
農試溪口農場,1999,12,*264.0,*496.3
七股研究中心,1999,12,294.2,561.9
六官養殖協會,1999,12,291.6,534.9
水試所海水繁養殖中心,1999,12,288.3,543.5
畜試所,1999,12,293.8,532.0
臺南蘭花園區,1999,12,287.8,525.4
臺南農改,1999,12,295.8,539.3
林試六龜中心,1999,12,293.1,556.2
林試扇平站,1999,12,254.2,445.7
農試鳳山分所,1999,12,*280.6,*506.7
高改旗南分場,1999,12,*281.8,*511.7
崎峰國小,1999,12,303.7,607.6
恆春工作站,1999,12,XXX,XXX
東港工作站,1999,12,306.5,613.5
畜試南區分所,1999,12,*296.5,*618.7
高雄農改,1999,12,312.5,717.9
畜試東區分所,1999,12,258.3,448.9
花改蘭陽分場,1999,12,248.4,410.9
花蓮農改,1999,12,243.1,383.7
東改班鳩分場,1999,12,231.4,352.9
東改賓朗果園,1999,12,*223.5,*342.0
林試太麻里1,1999,12,250.0,429.1
林試太麻里2,1999,12,*252.8,*456.9
茶改東部分場,1999,12,*236.9,*399.6
桃改樹林分場,2000,1,254.5,427.2
茶改北部分場,2000,1,249.9,431.5
桃園農改,2000,1,286.0,533.5
茶改場,2000,1,276.5,504.4
農工中心,2000,1,268.5,478.7
桃改五峰分場,2000,1,253.8,436.2
桃改新埔分場,2000,1,288.9,510.0
畜試北區分所,2000,1,315.6,719.9
苗改生物防治研究中心,2000,1,297.9,556.5
苗栗農改,2000,1,301.2,601.6
