Year,平均每日日照時數,平均每日日射量,行政區,ESH
1999,4.190960427181626,10.563767564071467,桃園市,10.563767564071467
2000,4.392287001660461,9.748006362288065,桃園市,9.748006362288065
2001,5.021151739798304,10.502365791758498,桃園市,10.502365791758498
2002,4.795986609229948,9.674159386896411,桃園市,9.674159386896411
2003,5.1123642556601885,9.599366593201095,桃園市,9.599366593201095
2004,4.726678496389286,10.657158180806958,桃園市,10.657158180806958
2005,4.428129276637342,11.373618932411675,桃園市,11.373618932411675
2006,4.367652649769585,12.262429499487968,桃園市,12.262429499487968
2007,4.519475486431132,12.745164234511009,桃園市,12.745164234511009
2008,4.909030404152762,13.964405180840664,桃園市,13.964405180840664
2009,4.905182586230973,14.038586856341416,桃園市,14.038586856341416
2010,4.743253356040873,13.086945034395246,桃園市,13.086945034395246
2011,4.686891404528151,13.134796366793562,桃園市,13.134796366793562
2012,4.73641921358829,13.419013471758744,桃園市,13.419013471758744
2013,4.900808755760369,13.972991973886328,桃園市,13.972991973886328
2014,5.456491167434716,13.60779321190842,桃園市,13.60779321190842
2015,5.086571338212704,12.72262216781874,桃園市,12.72262216781874
2016,4.24317538005191,11.451898998887652,桃園市,11.451898998887652
2017,4.713070489844683,12.619044239631338,桃園市,12.619044239631338
2018,5.393221006144393,11.68376440092166,桃園市,11.68376440092166
2019,7.694800759013283,14.041391524351676,桃園市,14.041391524351676
2020,7.906317204301075,15.03021001344086,桃園市,15.03021001344086
2021,8.1860599078341,15.770579663765147,桃園市,15.770579663765147
2022,7.564976105137394,14.116825183478408,桃園市,14.116825183478408
2023,8.0732089093702,14.949191573403551,桃園市,14.949191573403551
2024,7.229871081828813,12.71190895867203,桃園市,12.71190895867203
1999,3.751642857142857,10.76691986687148,新竹縣,10.76691986687148
2000,3.501275182301322,10.534848102830304,新竹縣,10.534848102830304
2001,3.6104742703533024,10.572421210957502,新竹縣,10.572421210957502
2002,3.3719905273937534,10.391996991807476,新竹縣,10.391996991807476
2003,3.594137224782386,11.318951932923708,新竹縣,11.318951932923708
2004,3.442433073785688,11.04419252873563,新竹縣,11.04419252873563
2005,3.2117427035330257,10.597223374295956,新竹縣,10.597223374295956
2006,3.076410650281618,10.820525217613929,新竹縣,10.820525217613929
2007,3.1325953661034305,10.311632808499745,新竹縣,10.311632808499745
2008,3.669406748238784,10.28887034977135,新竹縣,10.28887034977135
2009,3.3011245519713266,10.051761200716845,新竹縣,10.051761200716845
2010,3.076752432155658,7.887703277009728,新竹縣,7.887703277009728
2011,2.658267409114184,5.835957757296467,新竹縣,5.835957757296467
2012,2.2883466197009024,5.514395995550612,新竹縣,5.514395995550612
2013,2.2663031233998976,5.961935623516268,新竹縣,5.961935623516268
2014,2.240745007680492,6.065901536098311,新竹縣,6.065901536098311
2015,2.5962250384024577,8.82237634408602,新竹縣,8.82237634408602
2016,2.4483622543566925,7.45656859473489,新竹縣,7.45656859473489
2017,2.638950565563469,10.195165322580644,新竹縣,10.195165322580644
2018,3.740474095796676,10.537849462365593,新竹縣,10.537849462365593
2019,7.414852150537635,13.278978494623656,新竹縣,13.278978494623656
2020,7.150860215053763,12.878611925708698,新竹縣,12.878611925708698
2021,7.759041538658475,14.263232846902204,新竹縣,14.263232846902204
2022,7.5622359831029184,13.375925499231952,新竹縣,13.375925499231952
2023,7.800750128008193,13.863800883256529,新竹縣,13.863800883256529
2024,7.260453590409096,12.63710995756602,新竹縣,12.63710995756602
1999,,14.233495967741936,苗栗縣,14.233495967741936
2000,,12.823040563589174,苗栗縣,12.823040563589174
2001,,13.620632275132277,苗栗縣,13.620632275132277
2002,,13.250469976260298,苗栗縣,13.250469976260298
2003,,13.646315348182284,苗栗縣,13.646315348182284
2004,,14.45900768049155,苗栗縣,14.45900768049155
