站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區,days_in_month,平均每日日照時數,平均每日日射量
雲林分場,25.2,34.7,18,177.7,431.1,2000,5,雲林縣,31,5.732258064516128,13.906451612903227
義竹分場,25.8,33.2,19.4,,565.12,2000,5,嘉義縣,31,,18.22967741935484
畜試所,26.3,36.5,18.9,155.4,375.26,2000,5,臺南市,31,5.012903225806451,12.105161290322581
高雄農改,26.8,35.2,20.7,139.8,357.94,2000,5,屏東縣,31,4.509677419354839,11.546451612903226
恆春畜試,26.5,32.9,20.5,111.8,561.99,2000,5,屏東縣,31,3.606451612903226,18.128709677419355
蘭陽分場,23.9,32.9,16.8,,445.36,2000,5,宜蘭縣,31,,14.366451612903226
花蓮農改,24,32.4,16.7,81.1,387.15,2000,5,花蓮縣,31,2.616129032258064,12.488709677419354
斑鳩分場,23.2,34.7,16,83.3,282.85,2000,5,台東縣,31,2.6870967741935483,9.124193548387098
農業試驗所,25.3,34.1,18.5,136.1,406.86,2000,5,台中市,31,4.390322580645161,13.124516129032259
茶改場,26.3,33.7,15.5,198.8,449.85,2000,6,桃園市,30,6.626666666666667,14.995000000000001
桃園農改,27.8,35.4,17.8,174.9,445.38,2000,6,桃園市,30,5.83,14.846
五峰站,21.7,30.1,12.2,139.9,427.19,2000,6,新竹縣,30,4.663333333333333,14.239666666666666
苗栗農改,26.9,34.1,16.4,,544.34,2000,6,苗栗縣,30,,18.14466666666667
台中農改,27.7,34.8,17.8,233.8,396.89,2000,6,台中市,30,7.793333333333334,13.229666666666667
臺大溪頭,20,26.9,15.7,,323.15,2000,6,南投縣,30,,10.771666666666667
雲林分場,27.3,36.2,17.6,182.6,421.22,2000,6,雲林縣,30,6.086666666666667,14.040666666666668
義竹分場,28,34.7,18.4,,576.45,2000,6,嘉義縣,30,,19.215
畜試所,28,36.1,19.2,190.0,384.51,2000,6,臺南市,30,6.333333333333333,12.817
